Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
Llama4-SE in Nigeria_P10_18-7-2025.jpg,28,Young,"{'Woman': np.float32(0.03667252), 'Man': np.float32(99.96333)}",neutral,black,2.6562356e-20,1.5461074e-15,100,3.3692128e-29,1.1966829e-29,8.468103e-21,4.848168e-06,4.7362625e-19,0.000171197,5.0359482e-08,0.001797514,3.928368e-06,99.998024
Qwen3-235B-A22B- SE in Nigeria_P1_18-7-2025.png,33,Young,"{'Woman': np.float32(0.35378203), 'Man': np.float32(99.64622)}",neutral,black,7.405858,5.923042,85.63322,0.13047716,0.029205212,0.87819755,3.6016126,1.2676985e-05,0.23375414,0.00515573,16.837105,3.385567e-06,79.32236
Qwen3-235B-A22B- SE in Nigeria_P2_18-7-2025.png,34,Young,"{'Woman': np.float32(7.6786838), 'Man': np.float32(92.32131)}",sad,black,0.7292442,7.1436014,62.78554,12.469584,3.537594,13.334427,0.026068313,1.8939112e-15,6.0063314,5.18795e-07,50.029068,3.0667346e-05,43.938507
Qwen3-235B-A22B- SE in Nigeria_P3_18-7-2025.png,25,Young,"{'Woman': np.float32(11.2631035), 'Man': np.float32(88.7369)}",neutral,black,13.204336,7.276085,29.073854,27.780481,8.817533,13.847712,0.00060344,6.6996555e-13,2.6646018,0.2422051,9.120506,0.008217474,87.96387
Qwen3-235B-A22B- SE in Nigeria_P4_18-7-2025.png,26,Young,"{'Woman': np.float32(1.4653001), 'Man': np.float32(98.534706)}",sad,black,0.007658719,0.016217204,99.972206,6.65045e-05,1.0214272e-05,0.003836668,22.577759,1.2278128e-05,16.470362,2.6214168e-06,59.973465,0.00220133,0.97619677
Qwen3-235B-A22B- SE in Nigeria_P5_18-7-2025.png,30,Young,"{'Woman': np.float32(0.16649607), 'Man': np.float32(99.8335)}",sad,black,0.103417456,0.25377232,99.5967,0.001501498,0.000236389,0.044358525,0.19056942,2.9161672e-08,0.11378763,1.4331325e-05,75.679085,1.2636741e-05,24.016535
Qwen3-235B-A22B- SE in Nigeria_P6_18-7-2025.png,28,Young,"{'Woman': np.float32(0.17170079), 'Man': np.float32(99.8283)}",happy,black,0.041876867,0.000660143,99.95744,5.968238e-08,1.2825003e-09,1.875229e-05,0.000284748,1.1629733e-08,3.0901487e-05,98.80869,0.010968544,0.000180313,1.17985
Qwen3-235B-A22B- SE in Nigeria_P7_18-7-2025.png,26,Young,"{'Woman': np.float32(54.03313), 'Man': np.float32(45.966873)}",neutral,white,4.0656285,0.17863816,0.056480285,88.17189,3.774004,3.7533581,0.008633164,2.9141372e-06,8.03614,1.3199505,17.813795,5.1416686e-05,72.82143
Qwen3-235B-A22B- SE in Nigeria_P8_18-7-2025.png,28,Young,"{'Woman': np.float32(0.21640696), 'Man': np.float32(99.78359)}",neutral,black,3.2772855e-06,0.000160349,99.99983,4.482554e-09,2.118948e-09,1.4388338e-05,16.35619,1.5715342e-08,0.003321126,0.000486548,3.200141,6.4654586e-07,80.43986
Qwen3-235B-A22B- SE in Nigeria_P9_18-7-2025.png,28,Young,"{'Woman': np.float32(0.5526423), 'Man': np.float32(99.44735)}",neutral,black,0.057417694,0.15289265,99.78148,1.16211795e-05,4.5083607e-06,0.008195989,4.8439126,7.554746e-08,0.82393736,0.000896567,5.6598744,1.03086784e-07,88.67138
Qwen3-235B-A22B- SE in Nigeria_P10_18-7-2025.png,24,Young,"{'Woman': np.float32(26.081423), 'Man': np.float32(73.91858)}",neutral,white,0.93393487,0.32958224,0.08964674,82.33528,7.324106,8.98745,0.001889108,3.028023e-11,5.95927,0.14701614,1.932798,0.00055505,91.95847
StableDiffusion_SE IN Nigeria_P1_18-7-2025.jpg,30,Young,"{'Woman': np.float32(1.8999845e-05), 'Man': np.float32(99.99998)}",happy,black,2.9201725,18.83148,35.42651,7.4226866,12.277714,23.121435,6.944068e-11,1.1117369e-22,7.822286e-15,99.98451,5.3603107e-12,4.037187e-08,0.01549314
StableDiffusion_SE IN Nigeria_P2_18-7-2025.jpg,27,Young,"{'Woman': np.float32(44.612972), 'Man': np.float32(55.38702)}",happy,white,16.524313,1.7984716,0.7572757,63.145557,9.335565,8.438819,0.000918733,2.6014229e-09,2.8749386e-05,99.997696,0.00103036,0.000170756,0.000149407
StableDiffusion_SE IN Nigeria_P3_18-7-2025.jpg,29,Young,"{'Woman': np.float32(5.162885), 'Man': np.float32(94.83711)}",happy,black,0.7071848,15.939337,81.503586,0.026964486,0.026893655,1.796031,2.394168e-06,1.4326374e-12,4.8890648e-08,99.96916,0.000684375,0.002726455,0.027434198
StableDiffusion_SE IN Nigeria_P4_18-7-2025.jpg,27,Young,"{'Woman': np.float32(2.0124772), 'Man': np.float32(97.98752)}",angry,black,1.0267949,15.25331,42.570076,4.126035,9.3407755,27.683008,54.27984,1.964109e-14,7.076442,38.63454,0.007452247,0.001466595,0.000260943
StableDiffusion_SE IN Nigeria_P5_18-7-2025.jpg,30,Young,"{'Woman': np.float32(4.6076136), 'Man': np.float32(95.39239)}",sad,black,1.6583289,4.7732053,56.020615,9.448478,19.320807,8.778571,1.31001405e-08,2.6780116e-11,0.06854858,1.671997e-07,99.931404,6.450236e-14,4.7007972e-05
StableDiffusion_SE IN Nigeria_P6_18-7-2025.jpg,33,Young,"{'Woman': np.float32(0.012553009), 'Man': np.float32(99.98745)}",happy,black,2.8277413e-13,9.448995e-10,100,4.541169e-19,5.8414784e-21,2.3592272e-12,4.5540225e-12,2.2185734e-19,2.935634e-13,99.99848,1.6390043e-06,5.129795e-12,0.001522685
StableDiffusion_SE IN Nigeria_P7_18-7-2025.jpg,35,Young,"{'Woman': np.float32(1.6913693), 'Man': np.float32(98.30863)}",happy,black,25.682291,8.102296,39.042053,6.523437,4.9700866,15.679845,0.002142889,5.138777e-07,8.999873e-05,98.01289,1.3784457,2.5314228e-09,0.6064253
StableDiffusion_SE IN Nigeria_P8_18-7-2025.jpg,30,Young,"{'Woman': np.float32(0.008639907), 'Man': np.float32(99.991356)}",happy,black,1.1008931e-15,3.888977e-14,100,1.3043798e-21,1.5800459e-22,1.0044151e-14,3.2709084e-09,8.985194e-15,3.954734e-10,99.254684,3.4230661e-06,0.000286036,0.7450188
StableDiffusion_SE IN Nigeria_P9_18-7-2025.jpg,32,Young,"{'Woman': np.float32(0.01729328), 'Man': np.float32(99.98271)}",happy,black,2.7148932e-13,5.6017593e-11,100,1.9191125e-21,2.7508153e-22,3.861908e-14,5.8022678e-08,1.8665435e-22,2.6336075e-12,99.999695,1.6229659e-10,6.3702905e-06,0.000295704
StableDiffusion_SE IN Nigeria_P10_18-7-2025.jpg,29,Young,"{'Woman': np.float32(0.0023739422), 'Man': np.float32(99.99763)}",happy,black,8.529445e-06,0.000319825,99.99965,1.0716761e-09,1.971143e-10,2.244318e-05,5.884097e-09,5.7362834e-16,2.556704e-13,97.91128,1.6433548e-07,7.560189e-05,2.0886521
