Image,Predicted_Age,Age_Group,Gender,Dominant_Emotion,Dominant_Race,Race_asian,Race_indian,Race_black,Race_white,Race_middle eastern,Race_latino hispanic,Emotion_angry,Emotion_disgust,Emotion_fear,Emotion_happy,Emotion_sad,Emotion_surprise,Emotion_neutral
Qwen3-235B-A22B-SE in Spanish_P1_20-7-2025.png,37,Young,"{'Woman': np.float32(6.3016176), 'Man': np.float32(93.69838)}",angry,middle eastern,0.03538346,1.5679035,1.2047269,34.528378,55.76956,6.894044,99.89975,1.2979472e-14,0.005374528,1.2524977e-06,0.014262822,6.402158e-08,0.08060359
Qwen3-235B-A22B-SE in Spanish_P2_20-7-2025.png,29,Young,"{'Woman': np.float32(15.058936), 'Man': np.float32(84.94106)}",sad,black,0.9207067,13.902781,47.835957,10.853681,9.65531,16.831572,0.009794015,6.7225926e-08,15.804781,9.506957e-08,84.18528,3.97654e-14,0.000145492
Qwen3-235B-A22B-SE in Spanish_P3_20-7-2025.png,30,Young,"{'Woman': np.float32(15.385881), 'Man': np.float32(84.61411)}",sad,black,4.2712865,4.5966887,52.27213,17.392204,6.4178576,15.049831,7.4143296e-05,8.003994e-10,0.04126972,1.8719949e-06,99.95864,1.6520804e-13,1.4855597e-05
Qwen3-235B-A22B-SE in Spanish_P4_20-7-2025.png,32,Young,"{'Woman': np.float32(12.600358), 'Man': np.float32(87.39964)}",sad,black,1.909643,3.10227,70.40364,9.025496,3.2124763,12.346479,5.5379096e-06,3.1196476e-11,0.1640597,0.001024038,99.834854,2.9424768e-12,5.967872e-05
Qwen3-235B-A22B-SE in Spanish_P5_20-7-2025.png,30,Young,"{'Woman': np.float32(3.3923626), 'Man': np.float32(96.60763)}",neutral,asian,58.47577,0.10633386,6.742982,27.664698,2.0766487,4.933572,0.2044395,9.105664e-09,0.31227997,0.000228289,35.331024,4.2493014e-09,64.15202
Qwen3-235B-A22B-SE in Spanish_P6_20-7-2025.png,31,Young,"{'Woman': np.float32(9.015619), 'Man': np.float32(90.98438)}",sad,asian,27.34471,1.2317133,21.888304,23.542469,13.030221,12.962585,0.000770836,5.239911e-13,8.658551e-06,1.8600333e-07,99.95778,1.582682e-17,0.041433085
Qwen3-235B-A22B-SE in Spanish_P7_20-7-2025.png,31,Young,"{'Woman': np.float32(10.204994), 'Man': np.float32(89.795006)}",sad,asian,53.5607,1.2793951,4.868907,23.483898,7.06743,9.739673,1.4736973,0.000544707,0.000911317,7.1179215e-06,98.42936,3.3112138e-10,0.09547012
Qwen3-235B-A22B-SE in Spanish_P8_20-7-2025.png,26,Young,"{'Woman': np.float32(24.27242), 'Man': np.float32(75.72758)}",sad,middle eastern,1.166307,5.0595303,0.8518804,31.79967,42.585636,18.53698,0.10869091,4.3551836e-08,0.5520398,0.008128548,99.31961,0.002101966,0.009420742
Qwen3-235B-A22B-SE in Spanish_P9_20-7-2025.png,36,Young,"{'Woman': np.float32(5.8243775), 'Man': np.float32(94.17563)}",sad,black,0.8559632,10.913373,79.89217,1.0171869,2.5600867,4.761222,0.00162792,2.7585233e-07,0.5623547,2.6302453e-06,99.43266,6.4203587e-10,0.003347166
Qwen3-235B-A22B-SE in Spanish_P10_20-7-2025.png,38,Young,"{'Woman': np.float32(5.2337856), 'Man': np.float32(94.76622)}",sad,black,0.9503201,13.80769,69.26071,2.986258,5.3655176,7.62951,19.930805,5.417187e-10,0.7923044,7.1697823e-13,79.276886,7.573407e-20,1.9501522e-06
StableDiffusion_SE IN Spanish_P1_20-7-2025.jpg,29,Young,"{'Woman': np.float32(2.3595934), 'Man': np.float32(97.64041)}",sad,white,0.7095378,1.9056734,1.0782931,65.129974,22.875078,8.301443,12.966429,0.003998501,4.885962,0.035565965,70.992805,0.004989787,11.110253
StableDiffusion_SE IN Spanish_P2_20-7-2025.jpg,27,Young,"{'Woman': np.float32(4.366618), 'Man': np.float32(95.63338)}",angry,middle eastern,6.124697,4.3591776,17.055984,29.308336,34.688095,8.463709,85.69318,1.1981242e-23,14.306816,7.815249e-06,8.419008e-06,1.7271599e-11,2.257885e-22
StableDiffusion_SE IN Spanish_P3_20-7-2025.jpg,26,Young,"{'Woman': np.float32(0.72256184), 'Man': np.float32(99.277435)}",angry,middle eastern,0.12885404,2.1656926,22.929989,17.729372,48.00996,9.036131,98.41751,3.531092e-18,1.4583849,0.10413966,0.000120829,0.019840578,3.0533784e-06
StableDiffusion_SE IN Spanish_P4_20-7-2025.jpg,33,Young,"{'Woman': np.float32(25.376028), 'Man': np.float32(74.62398)}",fear,white,24.532522,0.76881576,0.1817935,61.782623,6.275508,6.458738,1.5203006,0.000333051,91.72176,1.7802607,4.734589,0.14572737,0.09702232
StableDiffusion_SE IN Spanish_P5_20-7-2025.jpg,34,Young,"{'Woman': np.float32(5.1416717), 'Man': np.float32(94.85832)}",neutral,middle eastern,2.093496,6.2966638,6.94698,8.515186,66.70387,9.443802,3.41035e-13,4.734972e-25,0.000221343,8.4892156e-09,0.000858809,1.9580687e-15,99.998924
StableDiffusion_SE IN Spanish_P6_20-7-2025.jpg,20,Young,"{'Woman': np.float32(1.7681397), 'Man': np.float32(98.23186)}",sad,middle eastern,2.1852024,11.396318,2.9433224,17.397526,60.568718,5.50892,0.001124374,5.4658354e-27,4.006138e-07,1.0095321e-05,99.99882,4.4777124e-10,4.5972847e-05
StableDiffusion_SE IN Spanish_P7_20-7-2025.jpg,31,Young,"{'Woman': np.float32(2.9969258), 'Man': np.float32(97.00308)}",fear,middle eastern,0.34335962,1.9822842,0.5409104,33.172176,54.478336,9.482932,49.730595,2.0427332e-10,50.264763,1.7053331e-09,0.004643019,4.800306e-10,3.1468633e-10
StableDiffusion_SE IN Spanish_P8_20-7-2025.jpg,32,Young,"{'Woman': np.float32(4.318133), 'Man': np.float32(95.68186)}",happy,asian,44.33427,1.4672048,4.282255,23.082888,12.883515,13.949872,2.6761342e-07,6.0375936e-12,0.004474754,99.15415,0.84014237,1.286161e-10,0.001219437
StableDiffusion_SE IN Spanish_P9_20-7-2025.jpg,31,Young,"{'Woman': np.float32(2.2603755), 'Man': np.float32(97.739624)}",angry,white,5.229357,0.348333,4.0662527,78.36749,6.546311,5.4422584,73.53313,6.978643e-08,25.042362,0.009670503,1.4099205,2.4792858e-05,0.004903209
StableDiffusion_SE IN Spanish_P10_20-7-2025.jpg,31,Young,"{'Woman': np.float32(4.7070036), 'Man': np.float32(95.293)}",fear,white,10.419882,3.0229359,23.231115,31.96069,6.7767954,24.588575,0.01580813,1.6917513e-10,99.98381,7.26198e-06,0.00035585,2.2508639e-05,1.7386419e-06
